Административный округ,Месяц,Год,Общая сумма начисленных средств по округу (рублей)
Центральный административный округ,Апрель,2016,1033089057.0
Центральный административный округ,Май,2016,1046211200.0
Центральный административный округ,Июнь,2016,1035468984.0
Центральный административный округ,Июль,2016,1029532179.83
Центральный административный округ,Август,2016,1029563915.0
Центральный административный округ,Сентябрь,2016,1042438615.0
Центральный административный округ,Октябрь,2016,1065523860.0
Центральный административный округ,Ноябрь,2016,1072033883.0
Центральный административный округ,Декабрь,2016,1083268627.0
Центральный административный округ,Январь,2017,1103915545.5
Центральный административный округ,Февраль,2017,1129023935.08
Центральный административный округ,Март,2017,1111853811.94
Центральный административный округ,Апрель,2017,1115320815.67
Центральный административный округ,Май,2017,56222516.13
Центральный административный округ,Июнь,2017,1131309445.43
Центральный административный округ,Июль,2017,1197215543.72
Центральный административный округ,Июль,2018,1231668213.78
Центральный административный округ,Июнь,2018,1230541429.98
Центральный административный округ,Май,2018,1247099349.01
Центральный административный округ,Март,2018,1238932233.52
Центральный административный округ,Февраль,2018,1247523024.93
Центральный административный округ,Январь,2018,1255932407.09
Центральный административный округ,Февраль,2019,1318968869.0
Центральный административный округ,Сентябрь,2017,1212037226.66
Центральный административный округ,Ноябрь,2018,1249987014.8
Центральный административный округ,Октябрь,2018,1236657418.57
Центральный административный округ,Сентябрь,2018,1221825452.9
Центральный административный округ,Декабрь,2018,1250072335.0
Центральный административный округ,Ноябрь,2017,1248661932.0
Центральный административный округ,Октябрь,2017,1233226017.0
Центральный административный округ,Август,2017,1205424733.0
Центральный административный округ,Апрель,2018,1242811612.0
Центральный административный округ,Декабрь,2017,1258380754.0
Центральный административный округ,Август,2018,1237711634.0
Центральный административный округ,Январь,2019,1282372753.0
Центральный административный округ,Апрель,2019,1376249632.96
Центральный административный округ,Март,2019,1300946634.0
Центральный административный округ,Май,2019,1320926822.0
Центральный административный округ,Июль,2019,1294459975.0
Центральный административный округ,Июнь,2019,1310177657.0
Центральный административный округ,Август,2019,1289896855.0
Центральный административный округ,Сентябрь,2019,130597783.0
Центральный административный округ,Октябрь,2019,1322195308.0
Центральный административный округ,Ноябрь,2019,1338087340.0
