Административный округ,Месяц,Год,Общая сумма начисленных средств по округу (рублей)
Центральный административный округ,Октябрь,2016,1065523860.0
Центральный административный округ,Ноябрь,2016,1072033883.0
Центральный административный округ,Декабрь,2016,1083268627.0
Центральный административный округ,Январь,2017,1103915545.5
Центральный административный округ,Февраль,2017,1129023935.08
Центральный административный округ,Март,2017,1111853811.94
Центральный административный округ,Апрель,2017,1115320815.67
Центральный административный округ,Июнь,2017,1131309445.43
Центральный административный округ,Июль,2017,1197215543.72
Центральный административный округ,Май,2018,1247099349.01
Центральный административный округ,Февраль,2018,1247523024.93
Центральный административный округ,Январь,2018,1255932407.09
Центральный административный округ,Февраль,2019,1318968869.0
Центральный административный округ,Сентябрь,2017,1212037226.66
Центральный административный округ,Ноябрь,2018,1249987014.8
Центральный административный округ,Декабрь,2018,1250072335.0
Центральный административный округ,Ноябрь,2017,1248661932.0
Центральный административный округ,Октябрь,2017,1233226017.0
Центральный административный округ,Август,2017,1205424733.0
Центральный административный округ,Апрель,2018,1242811612.0
Центральный административный округ,Декабрь,2017,1258380754.0
Центральный административный округ,Январь,2019,1282372753.0
Центральный административный округ,Апрель,2019,1376249632.96
Центральный административный округ,Март,2019,1300946634.0
Центральный административный округ,Май,2019,1320926822.0
Центральный административный округ,Июль,2019,1294459975.0
Центральный административный округ,Июнь,2019,1310177657.0
Центральный административный округ,Август,2019,1289896855.0
Центральный административный округ,Октябрь,2019,1322195308.0
Центральный административный округ,Ноябрь,2019,1338087340.0
Центральный административный округ,Декабрь,2019,1346013423.63
Центральный административный округ,Январь,2020,1387503641.27
Центральный административный округ,Февраль,2020,1342359782.32
Центральный административный округ,Март,2020,1354303732.14
Центральный административный округ,Июль,2020,1361095963.83
Центральный административный округ,Август,2020,1348579151.0
Центральный административный округ,Сентябрь,2020,1339981091.29
Центральный административный округ,Октябрь,2020,1351154922.05
Центральный административный округ,Ноябрь,2020,1360154861.83
Центральный административный округ,Декабрь,2020,1390256402.39
Центральный административный округ,Май,2021,1399711506.75
Центральный административный округ,Октябрь,2021,1395232174.22
Центральный административный округ,Ноябрь,2021,1426668016.12
Центральный административный округ,Декабрь,2021,1432572227.85
Центральный административный округ,Февраль,2022,1503652101.24
Центральный административный округ,Март,2022,1501570468.92
Центральный административный округ,Август,2022,1500253073.74
Центральный административный округ,Октябрь,2022,1511403308.44
Центральный административный округ,Ноябрь,2022,1525619546.67
Центральный административный округ,Декабрь,2022,1577877750.09
Центральный административный округ,Март,2023,1680960450.37
Центральный административный округ,Апрель,2023,1679463889.27
Центральный административный округ,Май,2023,1693621275.98
Центральный административный округ,Июнь,2023,1678591457.45
Центральный административный округ,Ноябрь,2023,1740483615.58
Центральный административный округ,Декабрь,2023,1741544445.32
Центральный административный округ,Август,2024,1874717626.17
Центральный административный округ,Сентябрь,2024,1863198365.81
Центральный административный округ,Октябрь,2024,1881543094.17
Центральный административный округ,Ноябрь,2024,1884313837.22
Центральный административный округ,Декабрь,2024,1894235156.63
Центральный административный округ,Июль,2025,2157225145.28
Центральный административный округ,Август,2025,2184243305.06
Центральный административный округ,Сентябрь,2025,2175254613.15
Центральный административный округ,Октябрь,2025,2207602218.63
Центральный административный округ,Ноябрь,2025,2218136644.58
Центральный административный округ,Декабрь,2025,2259048983.0
